n.evals.q.1.0.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max
1.470e+04	2.580e-01	2.112e-01	2.670e-01	6.396e-01	3.246e-01	8.333e-01	5.000e-01	3.452e-01	5.000e-01
1.480e+04	2.613e-01	2.112e-01	2.706e-01	6.396e-01	3.246e-01	8.333e-01	5.000e-01	3.452e-01	5.000e-01
1.490e+04	2.613e-01	2.112e-01	2.706e-01	6.396e-01	3.246e-01	8.333e-01	5.000e-01	3.452e-01	5.630e-01
1.500e+04	2.613e-01	2.112e-01	2.706e-01	6.396e-01	3.246e-01	8.333e-01	5.000e-01	3.452e-01	5.000e-01
1.510e+04	2.613e-01	2.112e-01	2.706e-01	6.396e-01	3.246e-01	8.333e-01	5.000e-01	3.452e-01	5.000e-01
1.520e+04	2.613e-01	2.112e-01	2.706e-01	6.396e-01	3.246e-01	8.333e-01	5.000e-01	3.452e-01	5.000e-01
1.530e+04	2.613e-01	2.112e-01	2.706e-01	6.396e-01	3.246e-01	8.333e-01	5.000e-01	3.452e-01	5.000e-01
1.540e+04	2.613e-01	2.112e-01	2.706e-01	6.396e-01	3.246e-01	8.333e-01	5.000e-01	3.452e-01	5.000e-01
1.550e+04	2.613e-01	2.112e-01	2.706e-01	6.396e-01	3.246e-01	8.333e-01	5.000e-01	3.452e-01	8.423e-01
1.560e+04	2.613e-01	2.112e-01	2.706e-01	6.396e-01	3.246e-01	8.333e-01	5.000e-01	3.452e-01	8.423e-01
1.570e+04	2.613e-01	2.112e-01	2.706e-01	6.396e-01	3.246e-01	8.333e-01	5.000e-01	3.003e-01	5.596e-01
1.580e+04	2.613e-01	2.112e-01	2.706e-01	6.396e-01	3.246e-01	8.333e-01	5.000e-01	3.003e-01	5.596e-01
1.590e+04	2.613e-01	2.112e-01	2.706e-01	6.396e-01	3.246e-01	8.333e-01	5.000e-01	3.003e-01	5.596e-01
1.600e+04	2.613e-01	2.112e-01	2.706e-01	6.396e-01	3.246e-01	8.333e-01	5.000e-01	3.452e-01	5.596e-01
1.610e+04	2.613e-01	2.112e-01	2.706e-01	6.396e-01	3.246e-01	8.333e-01	5.000e-01	3.003e-01	5.596e-01
1.620e+04	2.613e-01	2.112e-01	2.706e-01	6.396e-01	3.246e-01	8.333e-01	5.000e-01	3.003e-01	5.596e-01
1.630e+04	2.613e-01	2.112e-01	2.706e-01	6.396e-01	3.246e-01	8.333e-01	5.000e-01	3.003e-01	5.596e-01
1.640e+04	2.613e-01	2.183e-01	2.706e-01	6.396e-01	3.246e-01	8.333e-01	5.000e-01	3.003e-01	5.596e-01
1.650e+04	2.613e-01	2.183e-01	2.706e-01	6.396e-01	1.837e-01	8.333e-01	5.000e-01	3.003e-01	5.000e-01
1.660e+04	2.613e-01	2.183e-01	2.706e-01	6.396e-01	1.837e-01	8.333e-01	5.000e-01	2.900e-01	5.000e-01
1.670e+04	2.613e-01	2.183e-01	2.706e-01	6.396e-01	1.837e-01	8.333e-01	5.000e-01	2.900e-01	5.000e-01
1.680e+04	2.618e-01	2.187e-01	2.706e-01	6.209e-01	1.837e-01	8.184e-01	5.000e-01	2.900e-01	5.000e-01
1.690e+04	2.582e-01	2.183e-01	2.670e-01	5.550e-01	1.192e-01	8.184e-01	5.000e-01	2.900e-01	5.000e-01
1.700e+04	2.613e-01	2.183e-01	2.692e-01	5.550e-01	1.192e-01	8.184e-01	5.000e-01	2.900e-01	5.000e-01
1.710e+04	2.613e-01	2.183e-01	2.692e-01	5.550e-01	1.192e-01	8.184e-01	5.000e-01	2.900e-01	5.000e-01
1.720e+04	2.613e-01	2.183e-01	2.692e-01	5.550e-01	1.192e-01	8.184e-01	5.000e-01	3.003e-01	5.596e-01
1.730e+04	2.613e-01	2.183e-01	2.692e-01	5.550e-01	1.192e-01	8.184e-01	5.000e-01	2.900e-01	5.000e-01
1.740e+04	2.613e-01	2.183e-01	2.692e-01	5.550e-01	1.192e-01	8.184e-01	5.000e-01	2.900e-01	5.016e-01
1.750e+04	2.613e-01	2.183e-01	2.692e-01	5.550e-01	1.192e-01	8.184e-01	5.000e-01	2.900e-01	5.596e-01
1.760e+04	2.613e-01	2.183e-01	2.692e-01	5.550e-01	1.192e-01	8.184e-01	5.000e-01	2.900e-01	5.596e-01
1.770e+04	2.613e-01	2.183e-01	2.692e-01	5.550e-01	1.192e-01	8.184e-01	5.000e-01	2.900e-01	6.127e-01
1.780e+04	2.613e-01	2.183e-01	2.692e-01	5.550e-01	1.192e-01	8.184e-01	5.000e-01	2.900e-01	6.127e-01
1.790e+04	2.613e-01	2.183e-01	2.692e-01	5.550e-01	1.192e-01	8.184e-01	5.000e-01	3.452e-01	6.127e-01
1.800e+04	2.613e-01	2.183e-01	2.692e-01	5.550e-01	1.192e-01	8.184e-01	5.000e-01	3.003e-01	6.127e-01
1.810e+04	2.613e-01	2.183e-01	2.692e-01	5.550e-01	1.192e-01	8.184e-01	5.000e-01	3.003e-01	6.127e-01
1.820e+04	2.613e-01	2.183e-01	2.692e-01	5.550e-01	1.192e-01	8.184e-01	5.000e-01	3.003e-01	6.127e-01
1.830e+04	2.613e-01	2.183e-01	2.692e-01	5.550e-01	1.192e-01	8.184e-01	5.000e-01	3.003e-01	6.127e-01
1.840e+04	2.613e-01	2.183e-01	2.692e-01	5.550e-01	1.192e-01	8.184e-01	5.000e-01	3.003e-01	6.127e-01
1.850e+04	2.613e-01	2.183e-01	2.692e-01	5.550e-01	1.192e-01	8.184e-01	5.000e-01	3.003e-01	6.142e-01
1.860e+04	2.613e-01	2.183e-01	2.692e-01	5.550e-01	1.192e-01	8.184e-01	5.000e-01	3.452e-01	8.423e-01
1.870e+04	2.613e-01	2.183e-01	2.692e-01	5.550e-01	1.192e-01	8.184e-01	5.000e-01	3.452e-01	8.423e-01
1.880e+04	2.613e-01	2.183e-01	2.692e-01	5.550e-01	1.192e-01	8.184e-01	5.000e-01	3.452e-01	8.423e-01
1.890e+04	2.613e-01	2.183e-01	2.692e-01	5.550e-01	1.192e-01	8.184e-01	5.000e-01	3.452e-01	8.423e-01
1.900e+04	2.613e-01	2.183e-01	2.692e-01	5.550e-01	1.192e-01	8.184e-01	5.000e-01	3.452e-01	5.000e-01
1.910e+04	2.613e-01	2.183e-01	2.692e-01	5.550e-01	1.192e-01	8.184e-01	5.000e-01	3.452e-01	5.000e-01
1.920e+04	2.613e-01	2.183e-01	2.692e-01	5.550e-01	1.192e-01	8.184e-01	5.000e-01	4.991e-01	5.000e-01
1.930e+04	2.613e-01	2.183e-01	2.692e-01	5.550e-01	1.192e-01	8.184e-01	5.000e-01	3.452e-01	5.000e-01
1.940e+04	2.613e-01	2.183e-01	2.692e-01	5.550e-01	1.192e-01	8.184e-01	5.000e-01	3.452e-01	5.000e-01
1.950e+04	2.613e-01	2.183e-01	2.692e-01	5.007e-01	1.192e-01	8.184e-01	5.000e-01	3.452e-01	5.000e-01
1.960e+04	2.613e-01	2.183e-01	2.692e-01	5.007e-01	1.192e-01	8.184e-01	5.000e-01	3.452e-01	5.000e-01
1.970e+04	2.613e-01	2.183e-01	2.692e-01	5.007e-01	1.192e-01	8.184e-01	5.000e-01	3.452e-01	5.000e-01
1.980e+04	2.613e-01	2.183e-01	2.692e-01	5.007e-01	1.192e-01	8.184e-01	5.000e-01	3.452e-01	5.000e-01
1.990e+04	2.613e-01	2.183e-01	2.692e-01	5.007e-01	1.192e-01	8.184e-01	5.000e-01	3.452e-01	5.000e-01
2.000e+04	2.618e-01	2.183e-01	2.698e-01	5.007e-01	1.192e-01	8.184e-01	5.000e-01	3.452e-01	5.000e-01
2.010e+04	2.618e-01	2.183e-01	2.698e-01	5.007e-01	1.192e-01	8.184e-01	5.000e-01	3.452e-01	5.000e-01
2.020e+04	2.618e-01	2.183e-01	2.698e-01	5.007e-01	1.192e-01	8.184e-01	5.000e-01	3.452e-01	5.000e-01
2.030e+04	2.618e-01	2.183e-01	2.698e-01	5.007e-01	1.192e-01	8.184e-01	5.000e-01	3.452e-01	5.000e-01
2.040e+04	2.618e-01	2.183e-01	2.698e-01	5.007e-01	1.192e-01	8.184e-01	5.000e-01	3.452e-01	5.000e-01
2.050e+04	2.618e-01	2.183e-01	2.698e-01	5.007e-01	1.192e-01	8.184e-01	5.000e-01	3.452e-01	5.000e-01
2.060e+04	2.618e-01	2.183e-01	2.698e-01	5.007e-01	1.192e-01	8.184e-01	5.000e-01	3.452e-01	5.000e-01
2.070e+04	2.618e-01	2.187e-01	2.698e-01	5.007e-01	1.192e-01	8.184e-01	5.000e-01	3.452e-01	9.755e-01
2.080e+04	2.618e-01	2.187e-01	2.698e-01	5.007e-01	1.192e-01	8.184e-01	5.000e-01	4.991e-01	9.755e-01
2.090e+04	2.618e-01	2.187e-01	2.698e-01	5.007e-01	1.192e-01	8.184e-01	5.000e-01	4.991e-01	5.375e-01
2.100e+04	2.618e-01	2.187e-01	2.698e-01	5.007e-01	1.192e-01	8.184e-01	5.000e-01	4.991e-01	5.465e-01
2.110e+04	2.618e-01	2.187e-01	2.698e-01	5.007e-01	1.192e-01	8.184e-01	5.000e-01	4.991e-01	5.465e-01
2.120e+04	2.618e-01	2.187e-01	2.698e-01	5.007e-01	1.192e-01	8.184e-01	5.000e-01	4.991e-01	5.465e-01
2.130e+04	2.618e-01	2.187e-01	2.698e-01	5.007e-01	1.192e-01	8.184e-01	5.000e-01	4.991e-01	5.465e-01
2.140e+04	2.626e-01	2.187e-01	2.706e-01	5.007e-01	1.192e-01	8.184e-01	5.000e-01	3.848e-01	9.984e-01
2.150e+04	2.626e-01	2.187e-01	2.706e-01	5.007e-01	1.192e-01	8.184e-01	5.000e-01	3.452e-01	9.999e-01
2.160e+04	2.626e-01	2.187e-01	2.706e-01	5.007e-01	1.192e-01	8.184e-01	5.000e-01	4.991e-01	9.999e-01
2.170e+04	2.626e-01	2.187e-01	2.706e-01	5.007e-01	1.192e-01	8.184e-01	5.000e-01	3.452e-01	9.999e-01
2.180e+04	2.626e-01	2.187e-01	2.706e-01	5.007e-01	1.192e-01	8.184e-01	5.000e-01	3.452e-01	9.999e-01
2.190e+04	2.626e-01	2.187e-01	2.706e-01	5.007e-01	1.192e-01	8.184e-01	5.000e-01	3.452e-01	9.999e-01
2.200e+04	2.626e-01	2.187e-01	2.748e-01	5.007e-01	1.192e-01	8.184e-01	5.000e-01	3.452e-01	9.999e-01
2.210e+04	2.618e-01	2.187e-01	2.706e-01	5.007e-01	1.192e-01	8.184e-01	5.000e-01	3.452e-01	9.999e-01
2.220e+04	2.613e-01	2.187e-01	2.698e-01	5.007e-01	1.192e-01	8.184e-01	5.000e-01	3.452e-01	9.999e-01
2.230e+04	2.613e-01	2.187e-01	2.698e-01	5.007e-01	1.192e-01	8.184e-01	5.000e-01	2.900e-01	9.999e-01
2.240e+04	2.613e-01	2.187e-01	2.698e-01	5.007e-01	1.192e-01	8.184e-01	5.000e-01	2.900e-01	9.999e-01
2.250e+04	2.613e-01	2.187e-01	2.698e-01	5.007e-01	1.192e-01	8.184e-01	5.000e-01	2.900e-01	9.999e-01
2.260e+04	2.613e-01	2.187e-01	2.698e-01	5.007e-01	1.192e-01	8.184e-01	5.000e-01	2.900e-01	9.999e-01
2.270e+04	2.613e-01	2.187e-01	2.698e-01	5.007e-01	1.192e-01	8.184e-01	5.000e-01	2.900e-01	9.999e-01
2.280e+04	2.613e-01	2.187e-01	2.698e-01	5.007e-01	1.192e-01	8.184e-01	5.000e-01	2.900e-01	9.999e-01
2.290e+04	2.613e-01	2.187e-01	2.698e-01	5.007e-01	1.192e-01	8.184e-01	5.000e-01	2.900e-01	9.999e-01
2.300e+04	2.613e-01	2.187e-01	2.698e-01	5.007e-01	1.192e-01	8.184e-01	5.000e-01	2.900e-01	9.999e-01
2.310e+04	2.613e-01	2.187e-01	2.698e-01	5.007e-01	1.837e-01	8.184e-01	5.000e-01	3.452e-01	9.999e-01
2.320e+04	2.613e-01	2.187e-01	2.698e-01	5.550e-01	1.837e-01	8.184e-01	5.000e-01	2.900e-01	9.999e-01
2.330e+04	2.613e-01	2.187e-01	2.698e-01	5.007e-01	1.837e-01	7.505e-01	5.000e-01	2.900e-01	9.999e-01
2.340e+04	2.613e-01	2.187e-01	2.698e-01	5.007e-01	1.837e-01	7.505e-01	5.000e-01	2.900e-01	9.999e-01
2.350e+04	2.613e-01	2.187e-01	2.698e-01	5.007e-01	1.837e-01	7.505e-01	5.000e-01	2.900e-01	9.999e-01
2.360e+04	2.613e-01	2.187e-01	2.698e-01	5.007e-01	1.837e-01	7.505e-01	5.000e-01	2.900e-01	9.999e-01
2.370e+04	2.613e-01	2.187e-01	2.698e-01	5.007e-01	1.837e-01	7.505e-01	5.000e-01	2.900e-01	9.999e-01
2.380e+04	2.613e-01	2.187e-01	2.698e-01	5.007e-01	1.837e-01	7.505e-01	5.000e-01	2.900e-01	9.999e-01
2.390e+04	2.613e-01	2.187e-01	2.698e-01	5.007e-01	1.837e-01	7.505e-01	5.000e-01	2.900e-01	9.999e-01
2.400e+04	2.613e-01	2.187e-01	2.698e-01	5.007e-01	1.837e-01	7.505e-01	5.000e-01	2.900e-01	9.999e-01
2.410e+04	2.613e-01	2.187e-01	2.698e-01	5.007e-01	1.837e-01	7.505e-01	5.000e-01	2.900e-01	9.999e-01
2.420e+04	2.613e-01	2.187e-01	2.698e-01	5.007e-01	1.837e-01	7.505e-01	5.000e-01	2.900e-01	9.999e-01
2.430e+04	2.613e-01	2.187e-01	2.698e-01	5.007e-01	1.837e-01	7.505e-01	5.000e-01	2.900e-01	9.999e-01
2.440e+04	2.613e-01	2.187e-01	2.698e-01	5.007e-01	1.837e-01	7.505e-01	5.000e-01	2.900e-01	9.999e-01
2.450e+04	2.613e-01	2.187e-01	2.698e-01	5.007e-01	1.837e-01	7.505e-01	5.000e-01	2.900e-01	9.999e-01
2.460e+04	2.613e-01	2.187e-01	2.698e-01	5.007e-01	1.837e-01	7.505e-01	5.000e-01	2.900e-01	9.999e-01
2.470e+04	2.613e-01	2.187e-01	2.698e-01	5.007e-01	1.837e-01	7.505e-01	5.000e-01	3.452e-01	9.999e-01
2.480e+04	2.613e-01	2.187e-01	2.698e-01	5.007e-01	1.837e-01	7.505e-01	5.000e-01	3.452e-01	9.999e-01
2.490e+04	2.613e-01	2.187e-01	2.698e-01	5.007e-01	1.837e-01	7.505e-01	5.000e-01	3.452e-01	9.999e-01
2.500e+04	2.613e-01	2.187e-01	2.698e-01	5.007e-01	1.837e-01	7.505e-01	5.000e-01	3.452e-01	9.999e-01
